id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
12023024,Cozy room in a well located house,64331842,2016-03-24,"Boston, Massachusetts, United States",within a day,83.0,100.0,f,1.0,"['email', 'phone', 'reviews']",t,f,Roslindale,House,Private room,2.0,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",Essentials,""Lock on Bedroom Door"",""Hair Dryer"",""translation missing: en.hosting_amenity_50""}",60.0,30.0,1.0,10.0,1.0,1125.0,1.0,80.0,10.0,8.0,8.0,10.0,10.0,10.0,f,f,flexible,f,f,1.0,0.36
1668313,Room in Rozzie-Twin Bed-Full Bath,8834105,2013-09-14,"Roslindale (part of Boston), MA",within an hour,100.0,89.0,t,2.0,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,House,Private room,1.0,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",57.0,40.0,1.0,0.0,1.0,1125.0,17.0,94.0,9.0,10.0,10.0,10.0,9.0,9.0,f,f,flexible,f,f,2.0,0.48
2684840,"Updated, spacious living in Rozzie",13743098,2014-03-31,"Boston, Massachusetts, United States",within a few hours,100.0,100.0,f,2.0,"['email', 'phone', 'reviews']",t,f,Roslindale,Condominium,Entire home/apt,4.0,1.0,2.0,2.0,Real Bed,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",93.0,40.0,1.0,0.0,1.0,1125.0,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,flexible,f,f,2.0,0.64
13547301,2 Bedroom Apartment in Boston,57402911,2016-02-04,"Boston, Massachusetts, United States",within an hour,100.0,97.0,f,1.0,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Apartment,Entire home/apt,5.0,1.0,2.0,3.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",150.0,50.0,5.0,30.0,2.0,21.0,12.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,moderate,f,f,1.0,4.93
5434353,Quiet  Beauty in Boston,9658771,2013-10-27,"Boston, Massachusetts, United States",within a day,75.0,100.0,f,1.0,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,House,Entire home/apt,2.0,1.5,2.0,2.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",145.0,150.0,2.0,35.0,3.0,1125.0,7.0,91.0,9.0,9.0,10.0,9.0,9.0,9.0,f,f,moderate,f,f,1.0,0.56
225979,Cozy Room & Fresh Roasted Coffee,1176995,2011-09-18,"Boston, Massachusetts, United States",within an hour,100.0,79.0,f,2.0,"['email', 'phone', 'facebook', 'reviews']",t,f,Roslindale,Apartment,Private room,1.0,0.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",60.0,68.38014,1.0,0.0,1.0,365.0,70.0,96.0,9.0,10.0,10.0,10.0,9.0,10.0,f,t,strict,f,f,2.0,1.16
3420384,"Convient, Safe and Comfortable",431385,2011-03-09,"Boston, Massachusetts, United States",within a few hours,100.0,100.0,f,1.0,"['email', 'phone', 'reviews']",t,f,Roslindale,House,Private room,4.0,1.0,1.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher""}",165.0,50.0,3.0,15.0,3.0,1125.0,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,flexible,f,f,1.0,1.0
13512930,Roslindale Beauty next to Arboretum,13743098,2014-03-31,"Boston, Massachusetts, United States",within a few hours,100.0,100.0,f,2.0,"['email', 'phone', 'reviews']",t,f,Roslindale,Condominium,Private room,2.0,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",75.0,20.0,1.0,15.0,1.0,1125.0,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,flexible,f,f,2.0,0.37
7482195,Private room near bus stop,34552909,2015-05-30,"Boston, Massachusetts, United States",within a day,100.0,100.0,t,3.0,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,House,Private room,1.0,1.0,1.0,1.0,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",49.0,68.38014,1.0,10.0,5.0,1125.0,0.0,91.916664,9.431571,9.258041,9.646293,9.646548,9.414042,9.168235,f,f,strict,f,f,3.0,1.9709084
7252607,Private Room near Public Transport,34552909,2015-05-30,"Boston, Massachusetts, United States",within a day,100.0,100.0,t,3.0,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,House,Private room,2.0,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",49.0,68.38014,1.0,10.0,5.0,1125.0,4.0,95.0,9.0,10.0,10.0,10.0,9.0,10.0,f,f,strict,f,f,3.0,0.29
2583074,Cozy room in a charming villa.,13226301,2014-03-17,"Boston, Massachusetts, United States",within a few hours,100.0,94.0,t,3.0,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Villa,Private room,1.0,2.5,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",40.0,68.38014,1.0,0.0,2.0,1125.0,31.0,99.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,flexible,f,f,3.0,1.24
13251243,Arborside Guest Cottage,74531248,2016-05-28,"Boston, Massachusetts, United States",within an hour,100.0,100.0,f,1.0,"['email', 'phone', 'linkedin', 'reviews', 'kba']",t,t,Roslindale,House,Entire home/apt,3.0,1.0,0.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",120.0,50.0,3.0,0.0,2.0,6.0,16.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,moderate,f,f,1.0,5.93
225834,Skyline View to Boston,1176995,2011-09-18,"Boston, Massachusetts, United States",within an hour,100.0,79.0,f,2.0,"['email', 'phone', 'facebook', 'reviews']",t,f,Roslindale,Apartment,Private room,2.0,0.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",70.0,68.38014,1.0,10.0,1.0,365.0,38.0,98.0,9.0,10.0,10.0,10.0,9.0,9.0,f,t,strict,f,f,2.0,0.63
6400432,Spacious 3 bedroom cape cod style,23127285,2014-10-29,"Boston, Massachusetts, United States",within a day,100.0,63.0,f,1.0,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,House,Entire home/apt,8.0,1.0,3.0,5.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Shampoo}",150.0,100.0,6.0,0.0,3.0,1125.0,21.0,88.0,9.0,9.0,9.0,10.0,9.0,10.0,f,f,flexible,f,f,1.0,1.58
5498472,"4BD/3.5BA, Perfect for families!",28518068,2015-02-28,"Boston, Massachusetts, United States",,94.98908,84.17309,f,1.0,"['email', 'reviews']",t,f,Roslindale,House,Entire home/apt,5.0,3.5,4.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",175.0,100.0,1.0,0.0,14.0,1125.0,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,f,f,1.0,0.07
894539,Private room in house ,4762495,2013-01-19,"Boston, Massachusetts, United States",within an hour,100.0,92.0,t,2.0,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,House,Private room,2.0,1.5,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Breakfast,""Pets live on this property"",Cat(s),""Other pet(s)"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",95.0,10.0,1.0,0.0,1.0,1125.0,40.0,96.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,moderate,f,f,2.0,1.13
879929,Surround yourself with custom art!,4653380,2013-01-10,"Boston Massachusetts, Roslindale Neighborhood",within an hour,100.0,100.0,f,1.0,"['email', 'phone', 'reviews']",t,f,Roslindale,Apartment,Private room,2.0,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",90.0,68.38014,1.0,0.0,1.0,1125.0,43.0,95.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,strict,f,f,1.0,1.06
9218312,Sunny bedroom with private bathroom,47935411,2015-11-01,"Boston, Massachusetts, United States",within a few hours,100.0,100.0,t,1.0,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,House,Private room,2.0,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,Iron,""Laptop Friendly Workspace""}",95.0,15.0,1.0,0.0,2.0,1125.0,33.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,f,f,1.0,4.02
321328,Bright Room Near Roslindale Village,8302344,2013-08-21,"Boston, Massachusetts, United States",within a day,60.0,100.0,f,1.0,"['email', 'phone', 'reviews', 'jumio']",t,t,Roslindale,Apartment,Private room,2.0,1.0,1.0,2.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Family/Kid Friendly""}",100.0,68.38014,1.0,100.0,1.0,30.0,11.0,90.0,9.0,8.0,10.0,9.0,9.0,9.0,f,f,flexible,f,f,1.0,0.21
1810172,Room for 2 in Rozzie - Full Bath,8834105,2013-09-14,"Roslindale (part of Boston), MA",within an hour,100.0,89.0,t,2.0,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,House,Private room,2.0,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",67.0,40.0,1.0,5.0,1.0,1125.0,20.0,96.0,10.0,9.0,10.0,10.0,9.0,10.0,f,f,flexible,f,f,2.0,0.58
6513924,Private room in spacious condo!,16398126,2014-06-04,"Boston, Massachusetts, United States",within a few hours,95.0,100.0,f,1.0,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Condominium,Private room,1.0,1.0,1.0,1.0,Real Bed,"{TV,""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,Iron,""Laptop Friendly Workspace""}",55.0,68.38014,1.0,0.0,1.0,4.0,30.0,92.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,flexible,f,f,1.0,1.93
7093109,Adorable  Apt. 20 min from Downtown,37177446,2015-06-30,"Boston, Massachusetts, United States",within an hour,100.0,100.0,f,1.0,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Apartment,Entire home/apt,6.0,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}",200.0,85.0,4.0,20.0,2.0,1125.0,2.0,100.0,10.0,10.0,10.0,10.0,9.0,10.0,f,t,strict,f,f,1.0,0.38
14690527,1 Bedroom Home Suite Home,28472710,2015-02-27,"Boston, Massachusetts, United States",,94.98908,84.17309,f,1.0,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,Apartment,Entire home/apt,4.0,1.0,1.0,2.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo,""Lock on Bedroom Door"",""Hair Dryer"",Iron}",150.0,68.38014,1.0,0.0,1.0,1125.0,0.0,91.916664,9.431571,9.258041,9.646293,9.646548,9.414042,9.168235,f,t,flexible,f,f,1.0,1.9709084
7086825,Private Room near public transport,34552909,2015-05-30,"Boston, Massachusetts, United States",within a day,100.0,100.0,t,3.0,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,House,Private room,1.0,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",49.0,68.38014,1.0,10.0,5.0,1125.0,10.0,98.0,9.0,9.0,10.0,10.0,9.0,10.0,f,f,strict,f,f,3.0,0.72
1861070,Charming Gambrel on a sweet street,8879967,2013-09-16,"Boston, Massachusetts, United States",within a few hours,100.0,71.0,f,1.0,"['email', 'phone', 'reviews']",t,f,Roslindale,House,Private room,1.0,1.5,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",Breakfast,Washer,Dryer}",75.0,68.38014,1.0,0.0,1.0,1125.0,17.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,flexible,f,f,1.0,0.59
4283698,Private 1 bedroom w/ kitchenette,333210,2011-01-02,"Boston, Massachusetts, United States",within an hour,100.0,95.0,f,2.0,"['email', 'phone', 'reviews', 'jumio']",t,t,Roslindale,House,Entire home/apt,4.0,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Hangers,""Laptop Friendly Workspace""}",110.0,25.0,2.0,20.0,3.0,1125.0,55.0,87.0,9.0,9.0,10.0,10.0,9.0,9.0,f,f,strict,f,f,1.0,2.36
10116095,Comfortable & Clean - Boston,1229092,2011-09-30,"Boston, Massachusetts, United States",within a few hours,100.0,100.0,f,1.0,"['email', 'phone', 'facebook', 'reviews']",t,f,Roslindale,Apartment,Private room,2.0,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",115.0,35.0,1.0,0.0,1.0,1125.0,0.0,91.916664,9.431571,9.258041,9.646293,9.646548,9.414042,9.168235,f,f,strict,f,f,1.0,1.9709084
8548176,Charming 3 bedroom-15 min to Boston,6570877,2013-05-25,"Milton, Massachusetts, United States",within an hour,98.0,96.0,f,5.0,"['email', 'phone', 'reviews', 'jumio', 'kba']",t,t,Roslindale,House,Entire home/apt,16.0,1.0,3.0,5.0,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",125.0,50.0,1.0,25.0,1.0,1125.0,24.0,91.0,10.0,10.0,10.0,10.0,9.0,9.0,f,f,strict,f,f,3.0,2.07
4922204,Charming new house-15 min to Boston,6570877,2013-05-25,"Milton, Massachusetts, United States",within an hour,98.0,96.0,f,5.0,"['email', 'phone', 'reviews', 'jumio', 'kba']",t,t,Roslindale,House,Entire home/apt,16.0,2.5,3.0,7.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",200.0,50.0,1.0,25.0,1.0,1125.0,82.0,95.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f,strict,f,f,3.0,4.32
